[INFO 2024-03-20 16:35:00] Starting unique-name/2024-03-20-16-35-00-.log!
[INFO 2024-03-20 16:35:00] Hi, I am a program, starting now !

[DEBUG 2024-03-20 16:35:00] <class 'logging.Logger'>
[INFO 2024-03-20 16:35:00] Starting experiment with random seed 42...
[DEBUG 2024-03-20 16:35:00] generating initial population
[DEBUG 2024-03-20 16:35:00] evaluating initial population
[DEBUG 2024-03-20 16:35:00] [Thread 7] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 2] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 1] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 3] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 4] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 5] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 6] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 0] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 7] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 2] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 1] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 3] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 4] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 5] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 6] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 0] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 7] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 2] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 1] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 3] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 4] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 5] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 6] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 0] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 7] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 2] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 1] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 3] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 4] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 5] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 6] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 7] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 0] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 2] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 1] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 3] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 4] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 5] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 6] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 7] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 0] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 2] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 1] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 3] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 4] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 5] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 6] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 7] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 0] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 2] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 1] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 3] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 4] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 5] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 6] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 7] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 0] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 2] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 1] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 3] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 4] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 5] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 7] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 6] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 0] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 2] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 1] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 3] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 4] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 5] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 7] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 6] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 0] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 2] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 1] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 3] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 4] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 5] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 7] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 6] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 0] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 2] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 1] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 3] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 4] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 5] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 7] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 6] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 0] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 2] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 1] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 3] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 4] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 5] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 7] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 6] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 0] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 2] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 1] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 3] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 4] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 5] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 7] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 6] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 0] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 2] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 1] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 3] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 4] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 5] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 7] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 6] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 0] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 2] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 1] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 3] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 4] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 5] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 7] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 6] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 0] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 2] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 1] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 3] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 3] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 5] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 7] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 6] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 0] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 2] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 1] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 4] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 3] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 5] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 7] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 6] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 0] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 2] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 1] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 4] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 3] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 5] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 7] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 6] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 2] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 0] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 1] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 4] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 3] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 5] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 7] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 6] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 2] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 0] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 1] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 4] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 3] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 5] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 7] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 6] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 2] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 0] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 1] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 4] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 3] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 5] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 7] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 6] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 2] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 0] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 1] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 4] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 3] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 5] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 7] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 2] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 6] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 0] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 1] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 4] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 3] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 5] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 7] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 2] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 6] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 0] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 1] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 4] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 3] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 5] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 7] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 2] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 6] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 0] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 1] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 4] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 3] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 5] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 7] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 6] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 2] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 0] Starting evaluation...
[DEBUG 2024-03-20 16:35:00] [Thread 0] Evaluation finished.
[DEBUG 2024-03-20 16:35:00] [Thread 4] Starting evaluation...
