[INFO 2023-10-05 16:10:39] Starting unique-name/2023-10-05-16-10-39-.log!
[INFO 2023-10-05 16:10:39] Hi, I am a program, starting now!
[DEBUG 2023-10-05 16:10:39] <class 'logging.Logger'>
[INFO 2023-10-05 16:10:39] Starting experiment with random seed 42...
[DEBUG 2023-10-05 16:10:39] generating initial population
[DEBUG 2023-10-05 16:10:39] evaluating initial population
[DEBUG 2023-10-05 16:10:39] [Thread 5] Starting evaluation...
[DEBUG 2023-10-05 16:10:39] [Thread 7] Starting evaluation...
[DEBUG 2023-10-05 16:10:39] [Thread 6] Starting evaluation...
[DEBUG 2023-10-05 16:10:39] [Thread 2] Starting evaluation...
[DEBUG 2023-10-05 16:10:39] [Thread 1] Starting evaluation...
[DEBUG 2023-10-05 16:10:39] [Thread 4] Starting evaluation...
[DEBUG 2023-10-05 16:10:39] [Thread 3] Starting evaluation...
[DEBUG 2023-10-05 16:10:39] [Thread 0] Starting evaluation...
[DEBUG 2023-10-05 16:10:39] [Thread 5] Evaluation finished.
[DEBUG 2023-10-05 16:10:39] [Thread 5] Starting evaluation...
[DEBUG 2023-10-05 16:10:39] [Thread 7] Evaluation finished.
[DEBUG 2023-10-05 16:10:39] [Thread 7] Starting evaluation...
[DEBUG 2023-10-05 16:10:39] [Thread 6] Evaluation finished.
[DEBUG 2023-10-05 16:10:39] [Thread 6] Starting evaluation...
[DEBUG 2023-10-05 16:10:39] [Thread 2] Evaluation finished.
[DEBUG 2023-10-05 16:10:39] [Thread 2] Starting evaluation...
[DEBUG 2023-10-05 16:10:39] [Thread 1] Evaluation finished.
[DEBUG 2023-10-05 16:10:39] [Thread 1] Starting evaluation...
[DEBUG 2023-10-05 16:10:39] [Thread 4] Evaluation finished.
[DEBUG 2023-10-05 16:10:39] [Thread 4] Starting evaluation...
[DEBUG 2023-10-05 16:10:39] [Thread 3] Evaluation finished.
[DEBUG 2023-10-05 16:10:39] [Thread 3] Starting evaluation...
[DEBUG 2023-10-05 16:10:39] [Thread 0] Evaluation finished.
[DEBUG 2023-10-05 16:10:39] [Thread 5] Evaluation finished.
[DEBUG 2023-10-05 16:10:39] [Thread 7] Evaluation finished.
[DEBUG 2023-10-05 16:10:39] [Thread 7] Starting evaluation...
[DEBUG 2023-10-05 16:10:39] [Thread 2] Evaluation finished.
[DEBUG 2023-10-05 16:10:39] [Thread 2] Starting evaluation...
[DEBUG 2023-10-05 16:10:39] [Thread 5] Starting evaluation...
[DEBUG 2023-10-05 16:10:39] [Thread 6] Evaluation finished.
[DEBUG 2023-10-05 16:10:39] [Thread 6] Starting evaluation...
[DEBUG 2023-10-05 16:10:39] [Thread 0] Starting evaluation...
[DEBUG 2023-10-05 16:10:39] [Thread 4] Evaluation finished.
[DEBUG 2023-10-05 16:10:39] [Thread 1] Evaluation finished.
